athlete,session_date,activity_id,session_type,total_distance_m,total_pl,sprint_efforts,max_vel_pct_max,pl_1d_fwd,pl_1d_side,pl_1d_up,pl_2d,pl_slow,tot_acc_load
BARKOK,2026-03-19,20260318232437,Training,3964,355,3,74,150,145,232,232,175,1207
BOUGRINE,2026-03-19,20260318232437,Training,3307,345,0,126,165,132,219,234,187,1083
Baadi,2026-03-19,20260318232437,Training,3466,430,3,109,197,162,276,284,255,1280
Benoun,2026-03-19,20260318232437,Training,2944,301,0,103,168,108,172,222,178,1011
Dahak,2026-03-19,20260318232437,Training,3396,367,2,96,168,138,239,242,203,1244
ELAMLOUD,2026-03-19,20260318232437,Training,3839,436,2,76,217,163,271,301,216,1286
ENNAFATI,2026-03-19,20260318232437,Training,3480,273,3,77,129,96,181,178,142,1094
Ferdaoussi,2026-03-19,20260318232437,Training,4091,384,2,94,148,149,269,233,187,1372
HALIMI,2026-03-19,20260318232437,Training,3662,409,0,70,146,164,290,244,190,1195
KHAMMAS,2026-03-19,20260318232437,Training,3452,358,2,76,135,132,257,210,159,1112
Khafifi,2026-03-19,20260318232437,Training,2998,349,3,108,149,121,241,214,206,1159
MAKAHASI,2026-03-19,20260318232437,Training,3443,382,2,100,197,142,234,269,230,1214
MATHIAS,2026-03-19,20260318232437,Training,3260,364,4,84,138,148,250,224,200,1050
MCHAKHCHAKH,2026-03-19,20260318232437,Training,3452,354,0,92,134,144,241,220,178,1163
MOUSSA,2026-03-19,20260318232437,Training,3754,451,3,76,188,175,303,285,230,1254
Maamouri,2026-03-19,20260318232437,Training,3381,360,3,103,150,138,244,226,175,1129
SAKHOU,2026-03-19,20260318232437,Training,3454,436,3,86,224,159,272,302,245,1127
SHARARH,2026-03-19,20260318232437,Training,4509,516,0,66,215,206,347,331,172,951
khafi,2026-03-19,20260318232437,Training,3405,370,1,159,180,144,231,255,184,1134
moukadam,2026-03-19,20260318232437,Training,2913,294,1,96,114,120,200,183,164,1034
othmen,2026-03-19,20260318232437,Training,3714,442,2,103,152,180,312,261,196,1200
